Filename	Duration (seconds)
host_filter-1854518_10.out	1044
host_filter-1854518_1.out	1018
host_filter-1854518_2.out	1018
host_filter-1854518_3.out	1006
host_filter-1854518_4.out	1006
host_filter-1854518_5.out	1012
host_filter-1854518_6.out	1012
host_filter-1854518_7.out	1006
host_filter-1854518_8.out	1006
host_filter-1854518_9.out	1044
Average	1017
