Filename	Duration (seconds)
host_filter-1856236_10.out	15138
host_filter-1856236_1.out	4085
host_filter-1856236_2.out	5745
host_filter-1856236_3.out	5742
host_filter-1856236_4.out	14805
host_filter-1856236_5.out	14945
host_filter-1856236_6.out	14760
host_filter-1856236_7.out	14783
host_filter-1856236_8.out	14753
host_filter-1856236_9.out	14762
Average	11951
